Program,Pvalue,Avalue,Mag
P0,0.19,0.0,large
P10,0.22,0.0,large
P100,0.19,0.0,large
P101,0.22,0.0,large
P102,0.19,0.0,large
P103,0.19,0.0,large
P104,0.19,0.0,large
P105,0.19,0.0,large
P106,0.19,0.0,large
P107,1.0,0.5,negligible
P109,0.22,0.0,large
P11,0.22,0.0,large
P111,0.19,0.0,large
P112,0.22,0.0,large
P113,0.22,0.0,large
P114,0.19,0.0,large
P115,0.62,0.25,large
P116,1.0,0.5,negligible
P117,0.22,0.0,large
P118,0.19,0.0,large
P119,0.22,0.0,large
P12,0.22,0.0,large
P120,0.19,0.0,large
P122,1.0,0.5,negligible
P123,0.19,0.0,large
P124,0.19,0.0,large
P125,0.19,0.0,large
P127,0.19,0.0,large
P128,0.22,0.0,large
P129,0.22,0.0,large
P13,0.19,0.0,large
P130,0.22,0.0,large
P131,0.22,0.0,large
P132,1.0,0.5,negligible
P133,0.19,0.0,large
P134,1.0,0.5,negligible
P135,0.19,0.0,large
P136,0.22,0.0,large
P137,1.0,0.5,negligible
P138,1.0,0.5,negligible
P139,0.19,0.0,large
P14,0.19,0.0,large
P141,0.19,0.0,large
P144,0.22,0.0,large
P145,0.22,0.0,large
P146,1.0,0.5,negligible
P147,0.22,0.0,large
P148,0.22,0.0,large
P149,0.19,0.0,large
P150,0.22,0.0,large
P152,0.19,0.0,large
P153,0.22,0.0,large
P154,0.19,0.0,large
P155,1.0,0.5,negligible
P156,0.22,0.0,large
P157,0.19,0.0,large
P158,0.19,0.0,large
P159,0.22,0.0,large
P16,0.19,0.0,large
P160,0.19,0.0,large
P161,0.19,0.0,large
P162,0.19,0.0,large
P163,1.0,0.5,negligible
P164,0.22,0.0,large
P167,0.19,0.0,large
P168,0.19,0.0,large
P169,0.19,0.0,large
P17,0.19,0.0,large
P170,0.19,0.0,large
P172,0.19,0.0,large
P173,0.19,0.0,large
P174,0.19,0.0,large
P175,0.19,0.0,large
P176,0.19,0.0,large
P177,0.22,0.0,large
P178,0.19,0.0,large
P18,0.19,0.0,large
P181,0.19,0.0,large
P182,0.19,0.0,large
P183,0.19,0.0,large
P184,0.19,0.0,large
P186,0.19,0.0,large
P187,0.19,0.0,large
P188,0.19,0.0,large
P189,0.19,0.0,large
P19,0.19,0.0,large
P191,0.22,0.0,large
P193,0.19,0.0,large
P194,0.19,0.0,large
P195,0.22,0.0,large
P196,0.19,0.0,large
P197,0.19,0.0,large
P198,1.0,0.5,negligible
P199,0.19,0.0,large
P2,0.22,0.0,large
P20,1.0,0.5,negligible
P200,1.0,0.5,negligible
P201,0.22,0.0,large
P202,0.19,0.0,large
P203,0.19,0.0,large
P204,0.19,0.0,large
P205,0.22,0.0,large
